大学,一次统计人,2026更新人,募集要項年份,文理,学部,学科,第几期,方式,位置,併願,网上出愿开始时间,网上出愿截止时间,邮寄开始时间,邮寄截止时间,必着/消印,需要EJU科目,能使用EJU,推荐日语分数,推荐托福分数,英语,可以使用的英语考试,JLPT,是否需要推荐信,校内考形式,学信网认证,校内考时间1,校内考时间2,发榜时间,最低EJU总分成绩（如有要求）,最低日语成绩（如有要求）,最低英语成绩（如有要求）,报录比,TOEFL code,其他备注,父记录,父记录 (1),最低英语成绩（如有要求） (1),报录比 (1),TOEFL code (1),其他备注 (1),父记录 (2),父记录 (1) (1),英语成绩类型,英语成绩推荐分数,JLPT等级,JLPT分数要求,EJU推荐分数,出愿材料清单,推荐信要求详细,出愿流程详细,报录比（2024）,报录比（2023）,报录比（2022）,合格者成绩分布,数据来源,爬取时间,爬取URL,审核状态,审核人,审核时间,审核备注,数据质量评分
東京大学,徐菁,朱梅霄,2026,理,理科一類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース2",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
東京大学,徐菁,朱梅霄,2026,理,理科二類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース2",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
東京大学,徐菁,朱梅霄,2026,理,理科三類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース2",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
東京大学,,朱梅霄,2026,文,文科一類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース1, 綜合科目",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
東京大学,,朱梅霄,2026,文,文科二類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース1, 綜合科目",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
東京大学,,朱梅霄,2026,文,文科三類,,只有一期,外国人入試,東京都,不可,2025-12-01,2025-12-05,2025-12-01,2025-12-05,必着,"日语, 数学コース1, 綜合科目",当年6月or11月都可,350+,100+,要,"托福, 雅思",不要,是,"小论文, 面试（线下）",不要,2026-02-25,2026-03-04,2026-03-10,,,,,9259,,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,理学部,数理学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,330+,80+,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-29,,2026-02-11,640,330,71,1/2,0312,日本語で実施（数学に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,理学部,物理学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,330+,80+,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-29,,2026-02-11,640,330,,1/15,0312,日本語で実施（数学及び物理に関する口頭試問を含む。,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,理学部,化学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,330+,80+,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-29,,2026-02-11,640,330,71,2/11,0312,日本語で実施（数学及び化学に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
名古屋大学,徐菁,乔欣欣,2026,理,理学部,生命理学科,只有一期,外国人入試,愛知県名古屋市,,2025-11-24,2025-12-04,2025-12-01,2025-12-05,必着,"日语, 数学コース2, 理科2科目選択",当年6月or11月都可,330+,80+,要,"托福, 雅思",不要,否,面试（线下）,不要,2026-01-29,,2026-02-11,640,330,71,2/3,0312,日本語で実施（生物，化学及び物理に関する口頭試問を含む。）,,,,,,,,,,,,,,,,,,,,,现有数据,,,待审核,,,,
