大学,学部,学科,位置,文理,方式,第几期,併願,能使用EJU,需要EJU科目,英语,JLPT,校内考形式,网上出愿开始时间,网上出愿截止时间,邮寄开始时间,邮寄截止时间,校内考时间1,校内考时间2,发榜时间
東京大学,理科一類,,東京都,理,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース2",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
東京大学,理科二類,,東京都,理,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース2",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
東京大学,理科三類,,東京都,理,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース2",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
東京大学,文科一類,,東京都,文,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース1, 綜合科目",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
東京大学,文科二類,,東京都,文,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース1, 綜合科目",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
東京大学,文科三類,,東京都,文,外国人入試,只有一期,不可,当年6月or11月都可,"日语, 数学コース1, 綜合科目",要,不要,"小论文, 面试（线下）",2025-12-01 00:00:00,2025-12-05 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-02-25 00:00:00,2026-03-04 00:00:00,2026-03-10 00:00:00
名古屋大学,理学部,数理学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,理学部,物理学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,理学部,化学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,理学部,生命理学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,理学部,地球惑星科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,農学部,生物環境科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"面试（线下）, 小论文",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,農学部,資源生物科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"面试（线下）, 小论文",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,農学部,応用生命科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 数学コース2, 理科2科目選択",要,不要,"面试（线下）, 小论文",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,文学部,,愛知県名古屋市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,教育学部,,愛知県名古屋市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,経済学部,,愛知県名古屋市,文,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-29 00:00:00,,2026-02-11 00:00:00
名古屋大学,情報学部,自然情報学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 綜合科目, 数学コース1",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,情報学部,人間・社会情報学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,情報学部,コンピュータ科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,面试（线下）,2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,医学部,医学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,"面试（线下）, 校内テスト",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,医学部,保健学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
名古屋大学,農学部,生物環境科学科,愛知県名古屋市,理,外国人入試,只有一期,,当年6月or11月都可,"日语, 理科2科目選択, 数学コース2",要,不要,"小论文, 面试（线下）",2025-11-24 00:00:00,2025-12-04 00:00:00,2025-12-01 00:00:00,2025-12-05 00:00:00,2026-01-30 00:00:00,,2026-02-11 00:00:00
